Start Time,End Time,Start Location,End Location,Distance (km),Project
2024-07-07 10:25:31.583000,2024-07-07 11:25:31.583000,Start Location,End Location,50.5,Test Project
2024-07-07 11:37:10.120000,2024-07-07 11:37:10.783000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:11.470000,2024-07-07 11:37:12.077000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:12.923000,2024-07-07 11:37:13.640000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:14.707000,2024-07-07 11:37:15.847000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:16.740000,2024-07-07 11:37:17.463000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:22.830000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:23.047000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:23.210000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:23.380000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:23.550000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:23.720000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:23.900000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:24.097000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:24.280000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:24.477000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:24.637000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:24.820000,Start Location,End Location,50.0,Test Project
2024-07-07 11:37:22.323000,2024-07-07 11:37:24.990000,Start Location,End Location,50.0,Test Project
2024-07-07 11:46:17.990000,2024-07-07 11:46:34.163000,"53.6576,-1.4876672","53.6576,-1.4876672",0.0,Project A
